major,track,course_code,course_title_en,course_title_ar,credits,prerequisites,description,,
IT,it_required,CPIT250,System Analysis & Design ,????? ? ????? ??????,3,STAT185,"The objective of this course is to provide a
methodical approach to developing computer
systems, including systems planning, analysis,
design, and implementation. The course
approaches the development of information
systems from a problem-solving perspective,
placing emphasis on the strategies and techniques
of systems analysis and design for producing
logical methodologies for dealing with complexity
in the development of information systems.",,
IT,it_required,CPIT260,Operating Systems,??? ?????,3,STAT186,"The objective of this course is to provide an
introduction to the basic concepts of modern
operating systems. The course covers the design of
operating systems and the way they work, in
terms of efficiency and reliability, in addition to
comparing between the techniques used inside
the operating systems, in terms of time and space
complexity. Topics include the basic components
of different operating systems, organizing and
managing processes, computing synchronization,
different scheduling techniques for processors,
storage devices, memory management, file
systems, and input/output systems.",,
IT,it_required,CPIT285,Computer Graphics ,???? ????,3,STAT187,"The objective of this course is to study the
hardware and software principles of interactive
raster graphics. Topics include an introduction to
the basic concepts of computer graphics, vector
and pixel displaying system, basic computer
graphics techniques, graphical software, the use of

API(s) for computer graphics, color models,
coordinates homogeneous, transformation,
rotation, clipping, representation of objects

through polygons, two-dimensional and three-
dimensional computer graphics techniques,

coordinate transformations, drawing curves and
surfaces, shading and lighting models, graphics
devices, animation techniques, ray tracing, and the

design and drawing of two-dimensional and three-
dimensional graphics objects in OpenGL in C++.",,
IT,it_required,CPIT251,Software Engineering (I),????? ??????? (?),3,STAT188,"The objective of this course is to study software
engineering principles and techniques used in the
specification, design, and testing of software
systems. Major software development
methodologies are reviewed including
requirements, analysis and specification, design,
testing, and documentation.",,
IT,it_required,CPIT280,Human Computer Interaction ,????? ??????? ???????,3,STAT189,"The objective of this course is to study the
fundamentals and principles of human computer
interaction. Also, it is intended to develop the
student's ability to explore and implement a
usable design, in addition to measure, analyze, and
evaluate the human computer interaction systems",,
IT,it_required,CPIT370,Computer Networks,?????,3,STAT190,"The objective of this course is to provide a wide
background of computer networks, giving students
the basic knowledge of data communication,
medium accessing protocols, local area networks,
and an overview of the higher level protocols.
Topics include principles of computer networks,
network standard models, analog and digital
signals, multiplexing schemes, transmission media,
multiple access techniques, wired and wireless
lans, network devices, IP addressing, domain name
system, and laboratory experiments.",,
IT,it_required,CPIT252,Software Design Patterns ,????? ????? ?????????,3,STAT191,"The objective of this course is to study the
principles behind the patterns of software and to
then apply a number of basic patterns. This course
covers fundamental aspects of large scale software
architecture, defined frameworks, design patterns,and ways of developing and establishing systems
based on components. The purpose of this course
is: (1) to know the classical styles of software
pattern and the need for a language to describe
the architecture, (2) to understand how to express
the qualities we want our architecture to provide
to the system or systems we are building from it,
and (3) to know how to achieve software qualities
using TACTICS. Topics include envisioning
architecture (architecture business cycle),
architectural patterns, reference models,
reference architectures, understanding quality
attributes, achieving qualities using tactics, and
how to document software architecture.",,
IT,it_required,CPIT330,IT Issues & Management ,????? ????????? ????????,3,STAT192,"The objective of this course is to study the
concepts and application of Agile and Scrum
techniques to manage software development
projects. Topics include an introduction to agile
project management, fundamentals of Scrum for
dealing with uncertainty and risk, identifying the
roles and their responsibilities, managing releases,
tools for tracking and monitoring a project,
planning an agile project, establishing the business
reasons for the project, clarifying the business
vision, identifying features for development in an
iteration, fostering self-management within the
development team, creating the optimal working
environment, transitioning to self-management,
running iterations, managing change, reviewing
the iteration through a sprint review, closing the project using a sprint retrospective, applying agile
throughout your organization, dealing with the
legacy organization, and scaling for large projects.",,
IT,it_required,CPIT380,Multimedia Technologies ,??????? ????? ???????,3,STAT193,"The objective of this course is to study multimedia
technologies and programming methods to
manipulate multimedia. Topics include creating
and modifying images, modifying sounds, splicing
words into sentences, reversing sounds, writing
programs to generate dynamic web-pages from
databases, and creating animations and movies
with special effects.",,
IT,it_required,CPIT305,Advanced Programming ,????? ??????,3,STAT194,"The objective of this course is to study advanced
techniques in Java programming. Topics include
how to build applications for different purposes,
methods for Java programs to interact with other
existing technologies, exception and error
handling, streams and files operations, concurrent
programming, network and socket programming,
and Java Database Connectivity (JDBC).",,
IT,it_required,CPIT425,Information Security ,??? ?????????,3,STAT195,"The objective of this course is to provide basic
knowledge on the technical and operational issues
of modern cryptosystems and the related
standards. Topics include threats to network
security and schemes for breaking security,
classical encryption techniques, block ciphers and
stream ciphers, DES and triple DES, AES, block
cipher operation modes, asymmetric ciphers: RSA,
Diffie-Hellman key exchange, ElGamal
cryptosystem, hash functions, MAC functions,
digital signature, key management and
distribution, X.509 certificates, transport level
security: SSL and TLS, Intrusion, and types and
configurations of firewalls.",,
IT,it_required,CPIT405,Internet's Applications,??????? ????????,3,STAT196,"The objective of this course is to study internet
programming and web-application development.
Students will learn basic principles and techniques
for building internet applications. It provides
students with the basic web-page development

technologies and an introduction to dynamic web-
page development using client-side scripting.

Topics include introduction to HTTP protocol and
client side programming, XHTML, Cascading Style
Sheets, JavaScript DOM, XML (Name space, DTD,
Schema, XSLT, XPATH), RSS, and AJAX.",,
IT,it_required,CPIT498,Senior Project (1),????? ???? (?),1,STAT197,"This course is the first part of a sequence of two
courses that constitute the graduation capstone
project. In this course the students integrate the
knowledge areas of IT into a development-based
project in which they deliver proposals, reports,
and oral presentations. The course topics cover
planning, analysis, and design phases of the
projects.",,
IT,it_required,CPIT345,Database Administration ,????? ????? ????????,3,STAT198,"The objective of this course is to explore a variety

of topics in Database Administration. Using hands-
on training, students will learn about installation,

configuration, administration, performance,
security, backup and recovery, and enterprise
services of databases. Additional topics include an
introduction to DBMS, schemas objects,
partitioned tables and indexes, built in data types,
backup and recovery, enterprise tools, services
and connectivity, locking, and concurrency.",,
IT,it_required,CPIT435,Needs Assessment & Technology Evaluation ,????? ?????????? ? ???????????,2,STAT199,"The objective of this course is to explore the
methods of identifying organizational needs.
Topics include the types of the questions expected
in personal interviews, the needed skills in how to
identify and assess appropriate technology to
meet the needs of the business, and how to follow
up, make changes, and find updated technical
solutions with the development and renewal
requirements in the future.",,
IT,it_required,CPIT499,Senior Project (2),????? ???? (?),3,STAT200,"This course is the second part of a sequence of
two courses that constitute the graduation
capstone project. This course aims to execute
what was presented in CPIT-498 – the students
present two reports and two presentations of the
graduation project. The courses topics cover detail
design, coding, testing, and project
implementation.",,
IT,it_required,CPIT470,Networks Administration ,????? ???????,3,STAT201,"The objective of this course is to explore the
principles of network administration. Topics
include network OSI layers and CISCO IOS
configuring devices, IP addressing and subnetting,
introduction to routing, static routing, default
routing, dynamic routing, RIP1 and RIP2,
troubleshooting, routing table lookup process,
OSPF, switching & switch configuration, switch
security, VLANs, spanning tree protocol, VTP, inter
VLAN routing, and network troubleshooting.",,
IT,it_required,CPIT323,Summer Training (I),??????? ??????,0,STAT202,"This is mandatory, 200-hour internship program
for all students in FCIT. The objective of this course
is to provide students the opportunity to apply
their academic education with hands-on, real
world experience in a work setting. Students are
sent to different companies to get the real flavor
of work group, communications, and professional
development experiences.",,
IT,it_required,STAT210,Introduction to computing Statistics,????? ????????,3,STAT203,NONE,,
IT,it_required,CPIT221,Technical Writing ,?????? ?????,2,STAT204,"The objective of this course is to study the
fundamentals of technical communication. Topics
include the concepts of technical communication
and its differences with academic writing,
processes in technical communication, tools and
techniques to perform collaborative projects and
writing, formatting the technical documents with
modern tools and techniques, techniques to write
official letters, memos and e-mails, writing
definitions and descriptions, writing informal
reports to address immediate and intermediate
tasks accomplishment, writing formal reports to
portray the complex nature of issues, writing
informal proposals to cover projects with limited
scope, writing formal proposals to submit a
detailed document, normally applied to large
projects, developing presentation skills, preparing
effective CV’s and cover letters, developing skills
for job interviews, learning styles in technical
writing for effective revision, and practicing
professional presentations in a seminar
environment.",,
IT,it_required,CPCS202,Programming (I),????? (?),3,STAT205,"The objective of this course is to cover the
fundamental concepts of procedural programming.
This course introduces the Java programming
language and helps students develop basic
problem-solving skills. Topics include algorithms,
flowchart, API, IDE, and JDK, numerical data,
primitive data type, short hand operators , cast
value of one type to another type , selection
statements, switch statements, break and continue
statements, relational operators, logical operators,
logical expressions, Boolean variable, Boolean
expressions, repetition statements, nested loops,
methods, pass arguments to a method, method
overloading, method abstraction, use of methods in
the math class, arrays, common array operations,
methods with array arguments and return value,
search and sort operations on array.",,
IT,it_required,CPCS203,Programming (II),????? (?),3,STAT206,"The objective of this course is to cover the basic and
intermediate concepts of object oriented
programming. Topics include the use of numerical
data, primitive data types, selection statements,
repetition statements, class, standard classes,
object, instance of a class, object oriented
programming, software development, constructor,
methods, call by values, call by reference, UML,
state memory diagram, class diagram, arrays,
method overloading, constructor overloading,
overriding, this, new, exception and assertions,
Inheritance, encapsulation, data abstraction,
private, public, protected, exception, inheritance,
abstract class, polymorphism, file handling.",,
IT,it_required,CPCS222,Discrete Structures (I),?????? ?????? (?),3,STAT207,"The objective of this course is to study the logical
and algebraic relationships between discrete
objects. This course cultivates clear thinking and
creative problem solving by developing students’
mathematical maturity in several core areas: logic
and proofs, sets, functions, relations, and counting
techniques.",,
IT,it_required,CPCS204,Data Structures (I),?????? ?????? (?),3,STAT208,"The objective of this course is to provide students
an understanding of abstract data structures,
including, but not limited to, arrays, linked lists,
queues, stacks, trees, and graphs. The course also
aims to give a conceptual understanding of the
trade-offs between various data structures, hence
enabling students to choose an optimal data
structure for a particular application. The students
will also learn concepts of algorithmic design,
recursion, and a variety of searching and sorting
algorithms.",,
IT,it_required,CPIS334,Software Project Management ,????? ?????? ??????,2,STAT209,"The objective of this course is to study the  processes, methods, techniques, and tools  that organizations use to manage their  information systems projects. The course  covers a systematic methodology for  initiating, planning, executing, controlling,  and closing projects. This course assumes  that project management in the modern  organization is a complex team based  activity, where various types of technologies  (including project management software as  well as software to support group collaboration) are an inherent part of the  project management process. This course  also acknowledges that project management  involves both the use of resources from  within the firm, as well as contracted from  outside the organization. ",,
IT,it_required,CPIS428,Professional Computing Issues ,????? ??????? ???????,2,STAT210,"The objective of this course is to explore the  ethical and social issues sparked by the ever growing information society at the local and  global level. Topics include the impact of  digitized information on individuals and  societies, privacy, intellectual property,  computer crimes, evaluating and controlling  technology, and professional ethics and  responsibilities. The course also explores the  social impact of information technology in  different areas of human life such as Internet,  information flooding, and the computerized  world, business, medicine, law, government,  transportation, entertainment, education,  banking, e-commerce, communications, an  overview of the law, ownership of software,  software contracts and liability, privacy and  the data protection act, computer misuse,  and forensic, societies for computing  professionals, and professionalism and  ethics.  ",,
IT,it_college_free,CPIT430,Decision Support Systems,??? ??? ??????,3,STAT211,"The objective of this course is to explore the
concept of decision support systems and

components. It gives knowledge of decision-
making models under different circumstances, as

well as identifies the intelligent systems and their
role in the process of decision support. It also
teaches how to deal with crises and disasters using
decision support systems.",,
IT,it_college_free,CPIT436,E Buisness Technology,????? ??????? ???????????,3,STAT212,"The objective of this course is to explore e-
business technology and the use of computer

techniques in updating business processes, which
are designed to improve performance and reduce
costs.",,
IT,it_college_free,CPIT480,Fundamentals of Instructional Techniques,??????? ????? ???????,3,STAT213,"The objective of this course is to study the
planning, organization and development of
educational materials. Also, it uses the instructions
system design model (ISD) to analyze, design,
deliver, and evaluate instructions.",,
IT,it_college_free,CPIT485,User Centered System Design,????? ????? ????????? ??? ????????,3,STAT214,"The objective of this course is to explore the
concepts of instruction between humans and
computers and how to apply the rules of design
and quality assurance in interactive systems.",,
IT,it_college_free,CPIT490,Selected Topics in IT*,?????? ?????? ?? ????? ?????????,3,STAT215,"The objective of this course is to explore selected
topics on the latest advances in the field of
Information Technology (topics determined by the
Council of the Information Technology
Department).",,
IT,it_database,CPIT340,Database (II),????? ?????? (2),3,STAT216,"The objective of this course is to study advanced
topics in the domain of databases. Topics include
distributed databases and client-server
architectures, concepts for object databases,
enhanced data models for advanced applications,
database tuning in relational database systems,
concurrency control techniques, and database
security.",,
IT,it_database,CPIT440,Data Mining and Warehousing,???????? ???????? ????????,3,STAT217,"The objective of this course is to explore the
different knowledge extraction methods and their
representation techniques as well as knowledge
engineering. It also introduces the different basic
artificial intelligence theories that qualify the
students to understand the course contents.
Topics include an introduction to data mining and
warehousing, data warehousing and OLAP
technology, classification and prediction, mining
frequent patterns, associations and correlations,

review of probability and statistics, and data
preprocessing.",,
IT,it_database,CPIT445,Knowledge Engineering,????? ???????,3,STAT218,"The objective of this course is to explore a variety

of topics in Database Administration. Using hands-
on training, students will learn about installation,

configuration, administration, performance,
security, backup and recovery, and enterprise
services of databases. Additional topics include an
introduction to DBMS, schemas objects,
partitioned tables and indexes, built in data types,
backup and recovery, enterprise tools, services
and connectivity, locking, and concurrency.",,
IT,it_network,CPIT375,Data Network Design and Evaluation,????? ?????? ????? ????????,3,STAT219,"The objective of this course is to study the
concepts and practical skills to design and evaluate

data networks. Topics include technical concepts
related to the data networks design, managerial
aspects of the design, and technical skills needed
to evaluate different network technologies,
thereby enabling students to compare and
contrast different alternatives for network designs.",,
IT,it_network,CPIT475,Wireless Data Networks,????? ???????? ?????????,3,STAT220,"The objective of this course is to explore principles
of IT Infrastructure, Networking and System
Administration. Topics include cellular
architecture, GSM, GPRS, UMTS, 802.11 WLAN
infrastructure designing, and planning and
administration.",,
IT,it_software_engineering,CPIT455,Software Engineering (II),????? ????????? (2),3,STAT221,"The objective of this course is to explore software
advanced engineering principles and techniques
used in the specification, design, and testing of
software systems Topics include software
engineering confirmation and authentication,
methods and ways of software testing building
and managing software development teams,
scientific and practical methods for calculating the
costs of software development, quality
management in software development, processes
development in software production, and
reconstruction management in software",,
IT,it_software_engineering,,Software Economics,????????? ?????????,3,STAT222,"The objective of this course is to explore concepts
in software economics. Topics include important
economic concepts in the process of software
development, building and empowering software
development teams, continuous improvement of
procedures in building software process,
production tasks in the process of applications
development, economies of scale operations
related to software development, optimizing
restricted operations and cost estimation to build
software, models of integrated operations, spiral
model to build software, and risk management in
building software.",,
